# ASTM E-490 AM0 Standard Spectra	
# Wavelength (micron)	W*m^{-2}*nm^{-1}
0.6095	1.744
0.6105	1.703
0.6115	1.746
0.6125	1.705
0.6135	1.683
0.6145	1.713
0.6155	1.713
0.6165	1.609
0.6175	1.707
0.6185	1.724
0.6195	1.707
0.6205	1.734
0.6215	1.69
0.6225	1.713
0.6235	1.666
0.6245	1.656
0.6255	1.632
0.6265	1.697
0.6275	1.697
0.6285	1.697
0.6295	1.677
0.631	1.639
0.633	1.651
0.635	1.656
0.637	1.654
0.639	1.651
0.641	1.614
0.643	1.621
0.645	1.627
0.647	1.603
0.649	1.558
0.651	1.606
0.653	1.599
0.655	1.532
0.657	1.384
0.659	1.549
0.661	1.571
0.663	1.555
0.665	1.56
0.667	1.535
0.669	1.546
0.671	1.516
0.673	1.521
0.675	1.51
0.677	1.508
0.679	1.498
0.681	1.492
0.683	1.479
0.685	1.455
0.687	1.467
0.689	1.461
0.691	1.448
0.693	1.448
0.695	1.436
0.697	1.416
0.699	1.425
0.701	1.386
0.703	1.388
0.705	1.415
0.707	1.4
0.709	1.384
0.711	1.385
0.713	1.373
0.715	1.366
0.717	1.354
0.719	1.328
0.721	1.331
0.723	1.348
0.725	1.35
0.727	1.346
0.729	1.319
0.731	1.326
0.733	1.318
0.735	1.309
0.737	1.307
0.739	1.278
0.741	1.258
0.743	1.286
0.745	1.279
0.747	1.283
0.749	1.27
0.751	1.262
0.753	1.259
0.755	1.255
0.757	1.248
0.759	1.24
0.761	1.237
0.763	1.241
0.765	1.221
0.767	1.185
0.769	1.203
0.771	1.204
0.773	1.208
0.775	1.188
0.777	1.196
0.779	1.187
0.781	1.187
0.783	1.176
0.785	1.18
0.787	1.177
0.789	1.174
0.791	1.158
0.793	1.143
0.795	1.134
0.797	1.152
0.799	1.135
0.801	1.142
0.803	1.129
0.805	1.115
0.807	1.12
0.809	1.095
0.811	1.114
0.813	1.115
0.815	1.107
0.817	1.104
0.819	1.063
0.821	1.08
0.823	1.073
0.825	1.075
0.826	1.08
0.828	1.081
0.83	1.063
0.832	1.051
0.834	1.041
0.836	1.052
0.838	1.044
0.84	1.04
0.842	1.036
0.844	1.024
0.846	1.028
0.848	1.023
0.85	0.966
0.852	0.9961
0.854	0.878
0.856	0.9755
0.858	1.005
0.86	0.9969
0.862	0.9949
0.864	0.9993
0.866	0.8862
0.868	0.9395
0.87	0.9747
0.872	0.9833
0.874	0.9713
0.876	0.964
0.878	0.9749
0.88	0.9554
0.882	0.9511
0.884	0.9579
0.886	0.9383
0.888	0.9443
0.89	0.953
0.892	0.9394
0.894	0.9332
0.896	0.9387
0.898	0.9339
0.9	0.9158
0.902	0.8916
0.904	0.9285
0.906	0.9176
0.908	0.9025
0.91	0.8916
0.912	0.8967
0.914	0.9071
0.916	0.9004
0.918	0.8951
0.92	0.8908
0.922	0.863
0.924	0.8585
0.926	0.8612
0.928	0.8769
0.93	0.8677
0.932	0.8651
0.934	0.8641
0.936	0.8547
0.938	0.858
0.94	0.8438
0.942	0.825
0.944	0.8324
0.946	0.8375
0.948	0.8407
0.95	0.8369
0.952	0.8317
0.954	0.808
0.956	0.8082
0.958	0.8188
0.96	0.8151
0.962	0.8089
0.964	0.8013
0.966	0.7947
0.968	0.7969
0.97	0.7959
0.972	0.7936
0.974	0.7815
0.976	0.7825
0.978	0.7779
0.98	0.7746
0.982	0.7764
0.984	0.7698
0.986	0.7661
0.988	0.7615
0.99	0.7541
0.992	0.7567
0.994	0.7556
0.996	0.7525
0.998	0.751
1	0.7479
1.002	0.7469
1.004	0.7261
1.006	0.7136
1.008	0.7335
1.01	0.7313
1.012	0.7262
1.014	0.721
1.016	0.7139
1.018	0.7107
1.02	0.7041
1.022	0.7021
1.024	0.7054
1.026	0.7027
1.028	0.6989
1.03	0.6937
1.032	0.6905
1.034	0.6817
1.036	0.684
1.038	0.6772
1.04	0.6761
1.042	0.6746
1.044	0.6714
1.046	0.66
1.048	0.6644
1.05	0.6622
1.052	0.6586
1.054	0.6549
1.056	0.6557
1.058	0.6451
1.06	0.6415
1.062	0.6438
1.064	0.6459
1.066	0.6395
1.068	0.6317
1.07	0.6241
1.072	0.6326
1.074	0.6276
1.076	0.628
1.078	0.6272
1.08	0.6247
1.082	0.6099
1.084	0.618
1.086	0.6208
1.088	0.6103
1.09	0.6199
1.092	0.6159
1.094	0.5849
1.096	0.5983
1.098	0.5961
1.1	0.6042
1.102	0.5932
1.104	0.5974
1.106	0.5945
1.108	0.5916
1.11	0.5906
1.112	0.5843
1.114	0.5844
1.116	0.5831
1.118	0.5815
1.12	0.5741
1.122	0.5796
1.124	0.5769
1.126	0.5655
1.128	0.57
1.13	0.5653
1.132	0.5678
1.134	0.5638
1.136	0.5658
1.138	0.5569
1.14	0.553
1.142	0.5531
1.144	0.5514
1.146	0.5548
1.148	0.5525
1.15	0.5489
1.152	0.5458
1.154	0.5479
1.156	0.5455
1.158	0.5435
1.16	0.532
1.162	0.5325
1.164	0.5332
1.166	0.5303
1.168	0.5312
1.17	0.5276
1.172	0.5315
1.174	0.5273
1.176	0.5184
1.178	0.519
1.18	0.5239
1.182	0.5159
1.184	0.5103
1.186	0.5187
1.188	0.5075
1.19	0.5085
1.192	0.5161
1.194	0.5145
1.196	0.5084
1.198	0.4943
1.2	0.5003
1.202	0.5068
1.204	0.4948
1.206	0.5039
1.208	0.489
1.21	0.4882
1.212	0.4933
1.214	0.4942
1.216	0.493
1.218	0.4897
1.22	0.4875
1.222	0.4854
1.224	0.4846
1.226	0.4817
1.228	0.4771
1.23	0.4792
1.232	0.475
1.234	0.4729
1.236	0.4719
1.238	0.4703
1.24	0.4653
1.242	0.4642
1.244	0.4619
1.246	0.4635
1.248	0.4633
1.25	0.4624
1.252	0.4571
1.254	0.4574
1.256	0.4551
1.258	0.4533
1.26	0.453
1.262	0.4497
1.264	0.4478
1.266	0.4467
1.268	0.4417
1.27	0.4453
1.272	0.4452
1.274	0.4431
1.276	0.4451
1.278	0.444
1.28	0.4356
1.282	0.4014
